H_ID,Weather,Continent,Terrian
52,歐洲,寒帶/亞寒帶森林氣候,高海拔
53,大洋洲,沙漠氣候,低海拔
54,大洋洲,草原氣候,低海拔
55,大洋洲,雨林氣候,低海拔
56,大洋洲,叢林氣候,低海拔
57,大洋洲,熱帶/亞熱帶森林氣候,低海拔
58,大洋洲,溫帶/亞寒帶森林氣候,低海拔
59,大洋洲,寒帶/亞寒帶森林氣候,低海拔
60,大洋洲,熱帶/亞熱帶森林氣候,中低海拔
61,大洋洲,溫帶/亞寒帶森林氣候,中低海拔
62,大洋洲,寒帶/亞寒帶森林氣候,中低海拔
63,大洋洲,熱帶/亞熱帶森林氣候,中海拔
64,大洋洲,溫帶/亞寒帶森林氣候,中海拔
65,大洋洲,寒帶/亞寒帶森林氣候,中海拔
66,大洋洲,熱帶/亞熱帶森林氣候,中高海拔
67,大洋洲,溫帶/亞寒帶森林氣候,中高海拔
68,大洋洲,寒帶/亞寒帶森林氣候,中高海拔
69,大洋洲,熱帶/亞熱帶森林氣候,高海拔
70,大洋洲,溫帶/亞寒帶森林氣候,高海拔
71,大洋洲,寒帶/亞寒帶森林氣候,高海拔
72,北美洲,沙漠氣候,低海拔
73,北美洲,草原氣候,低海拔
74,北美洲,雨林氣候,低海拔
75,北美洲,叢林氣候,低海拔
76,北美洲,熱帶/亞熱帶森林氣候,低海拔
77,北美洲,溫帶/亞寒帶森林氣候,低海拔
78,北美洲,寒帶/亞寒帶森林氣候,低海拔
79,北美洲,熱帶/亞熱帶森林氣候,中低海拔
80,北美洲,溫帶/亞寒帶森林氣候,中低海拔
81,北美洲,寒帶/亞寒帶森林氣候,中低海拔
82,北美洲,熱帶/亞熱帶森林氣候,中海拔
83,北美洲,溫帶/亞寒帶森林氣候,中海拔
84,北美洲,寒帶/亞寒帶森林氣候,中海拔
85,北美洲,熱帶/亞熱帶森林氣候,中高海拔
86,北美洲,溫帶/亞寒帶森林氣候,中高海拔
87,北美洲,寒帶/亞寒帶森林氣候,中高海拔
88,北美洲,熱帶/亞熱帶森林氣候,高海拔
89,北美洲,溫帶/亞寒帶森林氣候,高海拔
90,北美洲,寒帶/亞寒帶森林氣候,高海拔
91,南美洲,沙漠氣候,低海拔
92,南美洲,草原氣候,低海拔
93,南美洲,雨林氣候,低海拔
94,南美洲,叢林氣候,低海拔
95,南美洲,熱帶/亞熱帶森林氣候,低海拔
96,南美洲,溫帶/亞寒帶森林氣候,低海拔
97,南美洲,寒帶/亞寒帶森林氣候,低海拔
98,南美洲,熱帶/亞熱帶森林氣候,中低海拔
99,南美洲,溫帶/亞寒帶森林氣候,中低海拔
100,南美洲,寒帶/亞寒帶森林氣候,中低海拔
101,南美洲,熱帶/亞熱帶森林氣候,中海拔
102,南美洲,溫帶/亞寒帶森林氣候,中海拔
103,南美洲,寒帶/亞寒帶森林氣候,中海拔
104,南美洲,熱帶/亞熱帶森林氣候,中高海拔
105,南美洲,溫帶/亞寒帶森林氣候,中高海拔
106,南美洲,寒帶/亞寒帶森林氣候,中高海拔
107,南美洲,熱帶/亞熱帶森林氣候,高海拔
108,南美洲,溫帶/亞寒帶森林氣候,高海拔
109,南美洲,寒帶/亞寒帶森林氣候,高海拔
110,南極洲,極地冰原氣候,低海拔
111,南極洲,極地苔原氣候,低海拔
