Zoo_ID,Type,Name,Area,AreaName
1,餐飲服務,蟲蟲小棧 (蟲子店),13,昆蟲館
1,餐飲服務,企鵝精品店,10,企鵝館
1,餐飲服務,青蛙屋,12,兩棲爬蟲動物館
1,餐飲服務,梅花鹿店(統一超商),1,臺灣動物區
1,餐飲服務,駱駝店,4,沙漠動物區
1,餐飲服務,駱駝店(吉那圈),4,沙漠動物區
1,餐飲服務,駱駝店(愛爾蘭瘋薯),4,沙漠動物區
1,餐飲服務,駱駝店(倆月倆日),4,沙漠動物區
1,餐飲服務,老虎店,3,熱帶雨林區
1,餐飲服務,熱雨咖啡屋,15,熱帶雨林室內館（穿山甲館）
1,餐飲服務,河馬店 (頂呱呱),6,非洲動物區
1,餐飲服務, (河馬店)媽咪廚房,6,非洲動物區
1,餐飲服務,河馬店 (黑面蔡),6,非洲動物區
1,餐飲服務,河馬店(摩斯),6,非洲動物區
1,餐飲服務,小貓熊店 (萊爾富),10,企鵝館
1,餐飲服務,麥當勞 (速食餐廳),2,兒童動物區
1,餐飲服務,貓熊餐廳,14,新光特展館（大貓熊館）
1,餐飲服務,青蛙咖啡,12,兩棲爬蟲動物館
1,餐飲服務,團餐服務－麥當勞 (速食餐廳),2,兒童動物區
1,餐飲服務,團餐服務－青蛙屋,12,兩棲爬蟲動物館
1,餐飲服務,團餐服務－7-11 (梅花鹿店),1,臺灣動物區
1,餐飲服務,團餐服務－萊爾富 (小貓熊店),10,企鵝館
1,餐飲服務,團餐服務－黑熊小食堂,2,兒童動物區
1,餐飲服務,團餐服務－貓熊餐廳,14,新光特展館（大貓熊館）
1,餐飲服務,團餐服務－頂呱呱 (河馬店),6,非洲動物區
1,餐飲服務,團餐服務－黑面蔡 (河馬店),6,非洲動物區
1,餐飲服務,販賣機,17,生命驛站
1,餐飲服務,販賣機,13,昆蟲館
1,餐飲服務,販賣機,6,非洲動物區
1,餐飲服務,飲水機(有熱水),1,臺灣動物區
1,餐飲服務,飲水機(無熱水),17,生命驛站
1,設施服務,寄物櫃,1,臺灣動物區
1,設施服務,娃娃車／輪椅租用,8,鳥園區
1,設施服務,娃娃車／輪椅租用,1,臺灣動物區
1,設施服務,哺集乳室,1,臺灣動物區
1,設施服務,哺集乳室,15,熱帶雨林室內館（穿山甲館）
1,設施服務,哺集乳室,12,兩棲爬蟲動物館
1,設施服務,ATM提款機,4,沙漠動物區
1,設施服務,ATM提款機,14,新光特展館（大貓熊館）
1,設施服務,廁所,2,兒童動物區
1,設施服務,廁所,9,教育中心
1,設施服務,廁所,17,生命驛站
1,設施服務,廁所,13,昆蟲館
1,設施服務,廁所,13,昆蟲館
1,設施服務,廁所,3,熱帶雨林區
1,設施服務,廁所,9,教育中心
1,設施服務,廁所,11,無尾熊館
1,設施服務,廁所,3,熱帶雨林區
1,設施服務,廁所,3,熱帶雨林區
1,設施服務,廁所,4,沙漠動物區
1,設施服務,廁所,5,澳洲動物區
1,設施服務,廁所,6,非洲動物區
1,設施服務,廁所,7,溫帶動物區
1,設施服務,廁所,7,溫帶動物區
1,設施服務,廁所,10,企鵝館
1,設施服務,廁所,12,兩棲爬蟲動物館
1,設施服務,廁所,12,兩棲爬蟲動物館
1,設施服務,大門口,2,兒童動物區
1,設施服務,遊客服務中心,1,臺灣動物區
1,設施服務,餐廳(麥當勞),2,兒童動物區
1,設施服務,大熊貓館外側(1),14,新光特展館（大貓熊館）
1,設施服務,亞洲熱帶雨林區,3,熱帶雨林區
1,設施服務,酷Cool節能屋(2),4,沙漠動物區
1,設施服務,河馬廣場(1),6,非洲動物區
1,設施服務,河馬廣場(2),6,非洲動物區
1,設施服務,教育中心服務台,9,教育中心
1,設施服務,演講廳,9,教育中心
1,設施服務,大貓熊館,14,新光特展館（大貓熊館）
1,設施服務,溫帶動物區,10,企鵝館
1,設施服務,小小綠手指教室,9,教育中心
1,設施服務,企鵝館,10,企鵝館
1,設施服務,教育中心,9,教育中心
1,設施服務,昆蟲館,15,熱帶雨林室內館（穿山甲館）
1,設施服務,大貓熊館,14,新光特展館（大貓熊館）
1,設施服務,穿山甲館,15,熱帶雨林室內館（穿山甲館）
1,設施服務,大門舞台,1,臺灣動物區
1,設施服務,大門廣場噴泉,2,兒童動物區
1,設施服務,國際會議廳,14,新光特展館（大貓熊館）
1,設施服務,演講廳,9,教育中心
1,設施服務,動物藝坊,9,教育中心
1,設施服務,動物學堂,9,教育中心
1,設施服務,史奈克的窩,12,兩棲爬蟲動物館
1,設施服務,多媒體放映室,13,昆蟲館
1,設施服務,小小綠手指教室,9,教育中心
1,設施服務,水田,17,生命驛站
1,設施服務,兒童劇場,2,兒童動物區
1,設施服務,涼亭門牌編號1,1,臺灣動物區
1,設施服務,涼亭門牌編號2,2,兒童動物區
1,設施服務,涼亭門牌編號3,1,臺灣動物區
1,設施服務,涼亭門牌編號4,9,教育中心
1,設施服務,涼亭門牌編號5,3,熱帶雨林區
1,設施服務,涼亭門牌編號6,3,熱帶雨林區
1,設施服務,涼亭門牌編號7,3,熱帶雨林區
1,設施服務,涼亭門牌編號8,17,生命驛站
1,設施服務,涼亭門牌編號9,17,生命驛站
1,設施服務,涼亭門牌編號10,2,兒童動物區
1,設施服務,涼亭門牌編號11,9,教育中心
1,設施服務,涼亭門牌編號12,3,熱帶雨林區
1,設施服務,涼亭門牌編號13,3,熱帶雨林區
1,設施服務,涼亭門牌編號14,3,熱帶雨林區
1,設施服務,涼亭門牌編號15,3,熱帶雨林區
1,設施服務,涼亭門牌編號16,3,熱帶雨林區
1,設施服務,涼亭門牌編號17,3,熱帶雨林區
1,設施服務,涼亭門牌編號18,4,沙漠動物區
1,設施服務,涼亭門牌編號19,6,非洲動物區
1,設施服務,涼亭門牌編號20,4,沙漠動物區
1,設施服務,涼亭門牌編號21,5,澳洲動物區
1,設施服務,涼亭門牌編號22,5,澳洲動物區
1,設施服務,涼亭門牌編號23,4,沙漠動物區
1,設施服務,涼亭門牌編號24,4,沙漠動物區
1,設施服務,涼亭門牌編號25,6,非洲動物區
1,設施服務,涼亭門牌編號26,6,非洲動物區
1,設施服務,涼亭門牌編號27,5,澳洲動物區
1,設施服務,涼亭門牌編號28,6,非洲動物區
1,設施服務,涼亭門牌編號29,6,非洲動物區
1,設施服務,涼亭門牌編號30,6,非洲動物區
1,設施服務,涼亭門牌編號31,6,非洲動物區
1,設施服務,涼亭門牌編號32,6,非洲動物區
1,設施服務,涼亭門牌編號33,6,非洲動物區
1,設施服務,涼亭門牌編號34,6,非洲動物區
1,設施服務,涼亭門牌編號35,6,非洲動物區
1,設施服務,涼亭門牌編號36,6,非洲動物區
1,設施服務,涼亭門牌編號37,6,非洲動物區
1,設施服務,涼亭門牌編號38,6,非洲動物區
1,設施服務,涼亭門牌編號50,7,溫帶動物區
1,設施服務,涼亭門牌編號51,7,溫帶動物區
1,醫護急救,護理站,1,臺灣動物區
1,醫護急救,自動體外心臟去顫器(AED),1,臺灣動物區
1,醫護急救,自動體外心臟去顫器(AED),14,新光特展館（大貓熊館）
1,醫護急救,自動體外心臟去顫器(AED),12,兩棲爬蟲動物館
1,醫護急救,自動體外心臟去顫器(AED),13,昆蟲館
1,醫護急救,自動體外心臟去顫器(AED),1,臺灣動物區
1,醫護急救,自動體外心臟去顫器(AED),13,昆蟲館
1,醫護急救,自動體外心臟去顫器(AED),13,昆蟲館
1,醫護急救,自動體外心臟去顫器(AED),3,熱帶雨林區
1,醫護急救,自動體外心臟去顫器(AED),2,兒童動物區
1,醫護急救,自動體外心臟去顫器(AED),17,生命驛站
1,醫護急救,自動體外心臟去顫器(AED),2,兒童動物區
1,醫護急救,自動體外心臟去顫器(AED),11,無尾熊館
1,醫護急救,自動體外心臟去顫器(AED),14,新光特展館（大貓熊館）
1,醫護急救,自動體外心臟去顫器(AED),9,教育中心
1,醫護急救,自動體外心臟去顫器(AED),9,教育中心
1,醫護急救,自動體外心臟去顫器(AED),9,教育中心
1,醫護急救,自動體外心臟去顫器(AED),9,教育中心
1,醫護急救,自動體外心臟去顫器(AED),3,熱帶雨林區
1,醫護急救,自動體外心臟去顫器(AED),15,熱帶雨林室內館（穿山甲館）
1,醫護急救,自動體外心臟去顫器(AED),3,熱帶雨林區
1,醫護急救,自動體外心臟去顫器(AED),3,熱帶雨林區
1,醫護急救,自動體外心臟去顫器(AED),4,沙漠動物區
1,醫護急救,自動體外心臟去顫器(AED),5,澳洲動物區
1,醫護急救,自動體外心臟去顫器(AED),6,非洲動物區
1,醫護急救,自動體外心臟去顫器(AED),6,非洲動物區
1,醫護急救,自動體外心臟去顫器(AED),6,非洲動物區
1,醫護急救,自動體外心臟去顫器(AED),12,兩棲爬蟲動物館
1,醫護急救,自動體外心臟去顫器(AED),10,企鵝館
1,醫護急救,自動體外心臟去顫器(AED),7,溫帶動物區
1,醫護急救,自動體外心臟去顫器(AED),10,企鵝館
1,醫護急救,自動體外心臟去顫器(AED),8,鳥園區
1,醫護急救,自動體外心臟去顫器(AED),12,兩棲爬蟲動物館
1,醫護急救,自動體外心臟去顫器(AED),12,兩棲爬蟲動物館
1,醫護急救,自動體外心臟去顫器(AED),7,溫帶動物區
1,醫護急救,急救箱,1,臺灣動物區
1,醫護急救,急救箱,1,臺灣動物區
1,醫護急救,急救箱,11,無尾熊館
1,醫護急救,急救箱,12,兩棲爬蟲動物館
1,醫護急救,急救箱,7,溫帶動物區
1,醫護急救,急救箱,1,臺灣動物區
1,醫護急救,急救箱,2,兒童動物區
1,醫護急救,急救箱,2,兒童動物區
1,醫護急救,急救箱,13,昆蟲館
1,醫護急救,急救箱,14,新光特展館（大貓熊館）
1,醫護急救,急救箱,14,新光特展館（大貓熊館）
1,醫護急救,急救箱,14,新光特展館（大貓熊館）
1,醫護急救,急救箱,15,熱帶雨林室內館（穿山甲館）
1,醫護急救,急救箱,3,熱帶雨林區
1,醫護急救,急救箱,4,沙漠動物區
1,醫護急救,急救箱,6,非洲動物區
1,醫護急救,急救箱,12,兩棲爬蟲動物館
1,醫護急救,急救箱,10,企鵝館
1,醫護急救,急救箱,10,企鵝館
1,醫護急救,急救箱,13,昆蟲館
1,醫護急救,急救箱,9,教育中心
1,醫護急救,緊急電話,1,臺灣動物區
1,醫護急救,緊急電話,3,熱帶雨林區
1,醫護急救,緊急電話,3,熱帶雨林區
1,醫護急救,緊急電話,15,熱帶雨林室內館（穿山甲館）
1,醫護急救,緊急電話,4,沙漠動物區
1,醫護急救,緊急電話,5,澳洲動物區
1,醫護急救,緊急電話,6,非洲動物區
1,醫護急救,緊急電話,12,兩棲爬蟲動物館
1,醫護急救,緊急電話,12,兩棲爬蟲動物館
1,醫護急救,緊急電話,12,兩棲爬蟲動物館
1,醫護急救,緊急電話,6,非洲動物區
1,醫護急救,緊急電話,10,企鵝館
1,醫護急救,緊急電話,13,昆蟲館
1,醫護急救,緊急電話,7,溫帶動物區
1,醫護急救,緊急電話,10,企鵝館
